Date,NDRE
2017-05-22,0.20775563357445212
2017-11-28,0.09358051999543235
2017-11-28,0.09844144983736514
2017-12-08,0.13047233213215323
2017-12-08,0.13890861260336437
2017-12-28,0.1538063966476632
2017-12-28,0.14625979943093984
2018-01-07,0.18438907714900568
2018-01-07,0.19486881368436296
2018-01-17,0.20080728323119618
2018-01-17,0.2066515766201838
2018-01-22,0.2084939183523507
2018-02-01,0.2562160631728622
2018-02-01,0.2634663901688724
2018-04-22,0.6269445223418848
2018-05-07,0.7083954679518986
2018-05-07,0.68160442312259
2018-05-22,0.7903965028764786
2018-05-22,0.7583741909768028
2018-06-11,0.7792322936412951
2018-06-11,0.7497970104944913
2018-06-26,0.7204725598445842
2018-06-26,0.7202630690638631
2018-07-01,0.6962037582056543
2018-07-01,0.6728689772292968
2018-07-06,0.6065776502002506
2018-07-26,0.19438511954483875
2018-07-31,0.16743145575250057
2018-09-24,0.12081334691807001
2018-09-24,0.12978339604927963
2018-09-29,0.12498191787739128
2018-10-09,0.10420300303522063
2018-10-19,0.11497904068159293
2018-10-29,0.07677607556220209
2018-10-29,0.04853358391137196
2018-11-13,0.10797024948843402
2018-11-13,0.1299349598838589
2018-11-18,0.11707215703295741
2018-11-18,0.14017172189067476
2018-12-08,0.0726373702507869
2018-12-08,0.09796138466280134
2019-01-17,0.12390513976019854
2019-01-17,0.11099395410592859
2019-01-22,0.11618424092785526
2019-02-26,0.1135551067989884
2019-02-26,0.10372070242166384
2019-03-28,0.11720402769788864
2019-04-17,0.0959930041188269
2019-04-17,0.07601126101365804
2019-05-12,0.17654638886349303
2019-08-25,0.1426040054930908
2019-08-25,0.13677274430456238
2019-09-19,0.09120990524259143
2019-09-19,0.10430457179578895
2019-10-09,0.12116211651925819
2019-10-29,0.23861840985092528
2019-10-29,0.31232952562654603
2019-11-18,0.36506024070306137
2019-12-08,0.36531773087183456
2019-12-08,0.37050850637331895
2019-12-23,0.39810312149824467
2019-12-23,0.3991140303965839
2020-02-01,0.1022683943608034
2020-02-01,0.10735516796525998
2020-02-06,0.09486541944081832
2020-02-06,0.0879198548223666
2020-02-11,0.10059707138262984
2020-03-02,0.10205672694243303
2020-03-27,0.11646281845295826
2020-03-27,0.10802902258401384
2020-04-06,0.10598315592786454
2020-04-16,0.09948016695824083
2020-04-16,0.10437702092698453
2020-04-21,0.11155787392919468
2020-04-21,0.11289019713279429
2020-04-26,0.0935825538464716
2020-04-26,0.09813671389057087
2020-05-06,0.11036625903160266
2020-05-06,0.11607414601438909
2020-05-21,0.11667635214974154
2020-05-21,0.11340755353724961
2020-05-31,0.12540550139430587
2020-05-31,0.10448647736603914
2020-06-25,0.14843184479311688
2020-06-25,0.13515459397515103
2020-08-24,0.2779330655433523
2020-08-24,0.22550523242303294
2020-09-18,0.2593644355723413
2020-11-02,0.17268303216307376
2020-12-17,0.09302645637125821
2020-12-17,0.12902086461873752
2020-12-27,0.06124866399893738
2020-12-27,0.06263590432548644
2021-05-31,0.14787453270382359
2021-05-31,0.1436602140893839
2021-06-05,0.2087611029026001
2021-06-15,0.23341898817086806
2021-07-20,0.3949314460763064
2021-07-20,0.3857150137452312
2021-08-04,0.5234432403689682
2021-08-04,0.47800314841474323
2021-09-08,0.22068514906583972
2021-10-03,0.16021322476038632
2021-11-02,0.1094095596053111
2021-11-17,0.07136499507288425
2021-11-17,0.07468501233795868
2021-11-22,0.0820400666541818
2021-11-22,0.08550357494034296
2021-12-02,0.10038116241413628
2022-01-21,0.012633881255217921
2022-01-26,0.09744649239778395
2022-01-31,0.1245307862496435
2022-03-17,0.14086532209654468
2022-03-17,0.14385726780273672
2022-04-16,0.14485870219605676
2022-04-21,0.17471105246229054
2022-07-10,0.23899304720970074
2022-07-10,0.2545692226029791
2022-08-14,0.10111882147890278
2022-10-08,0.09601320396704884
2022-10-08,0.08872682675896823
2022-10-18,0.10049198269496647
2022-10-18,0.09459357309802208
2023-01-11,0.08708904856917406
2023-01-21,0.250241664060127
2023-01-21,0.21255166711733747
2023-02-15,0.26727122404050074
2023-03-27,0.41793905865941233
2023-05-21,0.4626502080870329
2023-05-26,0.43584337191803024
2023-06-10,0.41662215522076845
2023-06-10,0.41213039415108255
2023-06-15,0.35601889897206906
2023-06-25,0.25801273102255023
2023-11-17,0.19229479692219686
2023-11-17,0.18422937935971806
2024-01-01,0.2352715416134603
2024-01-01,0.2229221712645834
2024-01-26,0.3747679646139021
2024-01-26,0.3520619053809119
2024-02-25,0.5489148336378856
2024-03-16,0.5464508812765534
2024-04-30,0.08293317835000896
2024-05-20,0.48107153359819277
2024-07-19,0.11152504368750542
2024-07-19,0.10219228193632605
2024-07-29,0.09422777543076039
2024-08-23,0.14292964545269346
2024-10-27,0.26149538341887446
2024-11-11,0.2557471581176181
2024-11-26,0.23005137769216474
2024-11-26,0.23841123579308432
2025-01-10,0.23716440718089568
2025-01-25,0.3112113533143254
2025-01-25,0.3099172712323046
2025-01-30,0.3122670986030263
2025-01-30,0.30470692326345883
2025-03-06,0.4495931803351439
2025-03-06,0.42454044544484043
2025-03-31,0.41338010405334547
2025-04-02,0.46087002089613344
2025-04-02,0.43557101819269717
2025-04-05,0.49952839280322725
2025-04-05,0.4730079538792964
2025-04-20,0.12665737024839158
2025-05-10,0.10161663143804309
2025-05-10,0.16829988437450424
2025-05-12,0.3942946973164901
2025-05-12,0.3762991181427814
2025-05-20,0.35166698274394403
2025-05-20,0.3360660887067826
2025-06-11,0.2948689200708397
2025-06-14,0.2479105188564415
2025-06-19,0.14658976914785746
2025-06-19,0.14890084642680265
